good_key,product_group,cn_code,goods_description
7219-flat-rolled-products-of-stainless-steel,Iron and steel,7219,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"""
72191100-flat-rolled-products-of-stainless-steel,Iron and steel,7219 11 00,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of > 10 mm"
721912-flat-rolled-products-of-stainless-steel,Iron and steel,7219 12,"Flat-rolled products of stainless steel, of a width of>= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 4,7 mm and <= 10 mm"
721913-flat-rolled-products-of-stainless-steel,Iron and steel,7219 13,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of >= 3 mm and < 4,75 mm"
721914-flat-rolled-products-of-stainless-steel,Iron and steel,7219 14,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, in coils, of a thickness of < 3 mm"
721921-flat-rolled-products-of-stainless-steel,Iron and steel,7219 21,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of > 10 mm"
721922-flat-rolled-products-of-stainless-steel,Iron and steel,7219 22,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 4,75 mm and <= 10 mm"
72192300-flat-rolled-products-of-stainless-steel,Iron and steel,7219 23 00,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of >= 3 mm and < 4,75 mm"
72192400-flat-rolled-products-of-stainless-steel,Iron and steel,7219 24 00,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than hot-rolled, not in coils, of a thickness of < 3 mm"
72193100-flat-rolled-products-of-stainless-steel,Iron and steel,7219 31 00,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 4,75 mm"
721932-flat-rolled-products-of-stainless-steel,Iron and steel,7219 32,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 3 mm but < 4,75 mm"
721933-flat-rolled-products-of-stainless-steel,Iron and steel,7219 33,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 1 mm but < 3 mm"
721934-flat-rolled-products-of-stainless-steel,Iron and steel,7219 34,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of >= 0,5 mm but <= 1 mm"
721935-flat-rolled-products-of-stainless-steel,Iron and steel,7219 35,"Flat-rolled products of stainless steel, of a width of >= 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of < 0,5 mm"
721990-flat-rolled-products-of-stainless-steel,Iron and steel,7219 90,"Flat-rolled products of stainless steel, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked"
7220-flat-rolled-products-of-stainless-steel,Iron and steel,7220,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"""
72201100-flat-rolled-products-of-stainless-steel,Iron and steel,7220 11 00,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of >= 4,75 mm"
72201200-flat-rolled-products-of-stainless-steel,Iron and steel,7220 12 00,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than hot-rolled, of a thickness of < 4,75 mm"
722020-flat-rolled-products-of-stainless-steel,Iron and steel,7220 20,"Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"""
722090-flat-rolled-products-of-stainless-steel,Iron and steel,7220 90,"Flat-rolled products of stainless steel, of a width of < 600 mm, hot-rolled or cold-rolled ""cold-reduced"" and further worked"
7221-bars-and-rods-of-stainless-steel-hot-rol,Iron and steel,7221,"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"
